Заголовок,ссылка,Цена,Адрес,Дата,comment
"5-комнатная квартира, 112 м², 1/3 этажВсе заметкиУдалить",https://krisha.kz//a/show/660668724,35 000 000〒,"Жетысуский р-н, мкр Дорожник, Мкр Дорожник 5",Алматы28 нояб.,"кирпичный дом, 1974 г.п., состояние: евроремонт, потолки 2.7м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, частично меблирована, Продается теплая просторная квартира первый этаж два сан узла в прихожей в детской в спальне зеркальное пано натяжные потолки. Полы наливные, ламина…"
"5-комнатная квартира, 102 м², 1/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/662372910,33 000 000〒,"Жетысуский р-н, Тузова 24",Алматы27 нояб.,"кирпичный дом, 1979 г.п., состояние: евроремонт, потолки 2.8м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, частично меблирована, Продается уникальный вариант; 5 комнатная в кирпично ригельном доме, дом суперсейсмостойкий, толщина стен 2 кирпича, из 2-х квартир сделали 1 квартиру обще…"
"5-комнатная квартира, 83.3 м², 1/2 этажВсе заметкиУдалить",https://krisha.kz//a/show/58415878,15 000 000〒,"Жетысуский р-н, Бокейханова 19 — Райымбека",Алматы26 нояб.,"1960 г.п., состояние: хорошее, жил. площадь 68.2 кв.м., кухня 9.4 кв.м., потолки 2.3м., санузел совмещенный, телефон: отдельный, интернет ADSL, частично меблирована, Срочно продам квартиру 5 комнат в жетысуйском районе. или обмен на дом. в абае райымбека кыргаулды ИТ. д ту максима не долеко…"
"5-комнатная квартира, 83.3 м², 1/2 этажВсе заметкиУдалить",https://krisha.kz//a/show/660481838,13 500 000〒,"Жетысуский р-н, Бокейханова",Алматы23 нояб.,"1960 г.п., состояние: хорошее, потолки 2.75м., санузел совмещенный, телефон: отдельный, интернет ADSL, полностью меблирована, Срочно продается отличная квартира! Хорошее месторасположение, легкий доступ в любую точку города. Все необходимое в шаговой доступности. Есть гараж на 2 машины, клад…"
"5-комнатная квартира, 215.3 м²Все заметкиУдалить",https://krisha.kz//a/show/663497996,от 162 551 500〒,Таттимбета 86,Алматы29 нояб.,"жил. комплекс Terrenkur Terrace, 3 этажа, 2020 г.п., жил. площадь 130.94 кв.м., кухня 21.74 кв.м., потолки 3.35м., санузел 2 с/у и более, Уникальное предложение на 4 квартиры.Звоните сейчас!Элитный малоквартирный жилой комплекс в…"
"5-комнатная квартира, 249.84 м²Все заметкиУдалить",https://krisha.kz//a/show/54007776,от 129 912 640〒,"Бостандыкский р-н, Гагарина — Ескараева",Алматы29 нояб.,"жил. комплекс 4YOU, 17 этажей, 2021 г.п., жил. площадь 99.24 кв.м., кухня 13.4 кв.м., потолки 2.7м., санузел 2 с/у и более, Квартал ярких идей! Жилой Квартал 4YOU - В нем прекрасно всё: начиная от локации, заканчивая детально продуманной планировкой квар…"
"5-комнатная квартира, 264 м², 6/6 этажВсе заметкиУдалить",https://krisha.kz//a/show/663071132,145 000 000〒,"Бостандыкский р-н, Тимирязева 2Б — Желтоксан",Алматы29 нояб.,"жил. комплекс Олд Базис, кирпичный дом, 2000 г.п., состояние: хорошее, санузел 2 с/у и более, телефон: отдельный, интернет проводной, частично меблирована, Один из первых проектов Базиса. Закрытый охраняемый двор в центре города"
"5-комнатная квартира, 230 м², 1/6 этажВсе заметкиУдалить",https://krisha.kz//a/show/662906738,107 000 000〒,"Медеуский р-н, проспект Достык — Омарова",Алматы29 нояб.,"кирпичный дом, 1997 г.п., потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, частично меблирована, Дом построен по спец проекту, один подъезд, всего 6 квартир, на лестничной площадке 1 квартира. цоколь очень высокий, расположение в самом престижном районе Алматы. уни…"
"5-комнатная квартира, 302 м², 7/9 этажВсе заметкиУдалить",https://krisha.kz//a/show/57430414,250 000 000〒,"Медеуский р-н, Тулебаева",Алматы29 нояб.,"жил. комплекс Салем-2, монолитный дом, 2010 г.п., состояние: евроремонт, 5091-3 *** Супер предложение ! Просторная, светлая квартира в самом центре, сердце Алма-Аты! На легендарной улице ТУЛЕБАЕВА. 5-комнатная квартира со свежим ремонтом. Квартира очень светлая и просторная, роскошный панорамны…"
"5-комнатная квартира, 305 м², 17/18 этажВсе заметкиУдалить",https://krisha.kz//a/show/663565304,170 000 000〒,"Медеуский р-н, Назарбаева 223",Алматы29 нояб.,"жил. комплекс Жеруйык, 2013 г.п., состояние: черновая отделка, санузел 2 с/у и более, телефон: есть возможность подключения, интернет оптика, Продается квартира, в жилом комплексе Жеруйык на пред-последнем этаже 17 этаж из 18. Общая площадь 305 кв. м., в черновой отделке. Отопление и охлажде…"
"5-комнатная квартира, 204.9 м², 3/3 этажВсе заметкиУдалить",https://krisha.kz//a/show/661618478,158 900 000〒,"Бостандыкский р-н, мкр Мирас, Аскарова Асанбая — Аскарова Асанбая",Алматы29 нояб.,"жил. комплекс Солнечная Долина, монолитный дом, 2019 г.п., состояние: евроремонт, потолки 3.2м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, полностью меблирована, НЕ РИЕЛТОРЫ! ШИКАРНО ПОД ИПОТЕКУ! Прекрасная квартира в новом комплексе Алматы - ЖК ""СОЛНЕЧНАЯ ДОЛИНА"". Мечта…"
"5-комнатная квартира, 220 м², 12/18 этажВсе заметкиУдалить",https://krisha.kz//a/show/52536782,95 000 000〒,"Алмалинский р-н, Курмангазы 145 — Муканова",Алматы29 нояб.,"жил. комплекс Жастар Mag, монолитный дом, 2007 г.п., состояние: евроремонт, жил. площадь 170 кв.м., кухня 30 кв.м., потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет оптика, частично меблирована, Первый хозяин от застройщика 5 кондиционеров Оценка кварт…"
"5-комнатная квартира, 110 м², 5/5 этажВсе заметкиУдалить",https://krisha.kz//a/show/663258315,38 000 000〒,"Медеуский р-н, Пушкина — Маметовой",Алматы29 нояб.,"кирпичный дом, 1982 г.п., состояние: хорошее, потолки 2.8м., №4826303 Уважаемые гости южной столицы и жители города Алматы! Представляю вашему вниманию эксклюзивный вариант, 5 комнатная квартира в Медеуском районе. Напротив центральной мечети. Всего 8 квартир в подъезде, на этаже 2 квартиры. Сде…"
"5-комнатная квартира, 170 м², 12/13 этажВсе заметкиУдалить",https://krisha.kz//a/show/662880860,115 000 000〒,"Бостандыкский р-н, Сейфуллина 580 — Аль-Фараби",Алматы29 нояб.,"жил. комплекс NS – Tau, монолитный дом, 2017 г.п., состояние: евроремонт, жил. площадь 145 кв.м., кухня 30 кв.м., потолки 2.75м., санузел 2 с/у и более, телефон: нет, интернет оптика, полностью меблирована, Квартира с очень красивым видом на горы, на Коктобе и на город. Ремонт новый, сделан для с…"
